	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	1	1	我	r	PRON	r	PRON	PRP	16	1	3	79	21.466666666666665	76.91455576735062	1	5517.999999999999	我	8.733333333333333	12.733333333333333	29.381324378288703	47.64377072492152
1	2	1	六岁	nt	NOUN	m	NOUN		15	2	2	336	283.46666666666664	220.4011090917849	2	0.0	六岁	168.73333333333332	86.66666666666667	124.32884710404991	123.77326941719777
2	3	1	那	r	PRON	r	PRON	PRD	14	1	2	106	188.0	254.086599410516	1	1800.0	那	114.86666666666666	58.06666666666667	121.54662571302514	126.91649047919483
3	4	1	年，	nt	NOUN	m	NOUN	NNB	13	13	1	195	213.6	240.073544287301	1	2305.0	年	139.73333333333332	73.86666666666666	115.2084873416692	164.23676675932083
4	5	1	有	v	VERB	v	VERB	VV	10	10	1	482	93.73333333333332	103.13193276359924	1	5604.000000000001	有	81.26666666666667	12.466666666666669	85.702949514912	46.6459954217818
5	6	1	一	m	NUM	m	NUM	CD	9	1	3	1473	89.8	122.04053971256164	1	8489.0	一	80.46666666666667	9.333333333333334	117.45232602587691	34.922135609890105
6	7	1	次，	q	DET	q	DET		8	2	2	56	240.7333333333333	213.44053556487864	1	714.9999999999999	次	159.93333333333334	37.2	101.30907604399955	65.9618071310967
7	8	1	在	p	ADP	p	ADP	IN	5	3	2	175	65.06666666666666	115.39755437423948	1	12434.0	在	47.0	18.066666666666663	83.30826289550555	67.59927678771588
8	9	1	一	m	NUM	m	NUM	CD	4	2	2	1473	119.46666666666668	198.62220979090483	1	8489.0	一	77.66666666666667	41.8	141.54418234443816	83.69882516101008
9	10	1	本	q	DET	r	DET		3	1	2	284	124.26666666666668	115.64339823593716	1	431.0	本	107.06666666666666	10.8	104.1668319998688	40.40989977715856
10	11	1	书	n	NOUN	n	NOUN		2	2	1	242	91.53333333333332	133.68862662503827	1	244.00000000000003	书	76.86666666666666	14.666666666666666	114.82674872268318	54.87764167268447
11	12	1	里	nd	NOUN	f	NOUN	NN	1	1	2	334	146.53333333333333	129.83213093153103	1	1968.0	里	117.26666666666668	29.266666666666666	86.61752452913646	74.82999992575765
12	13	1	看见	v	VERB	v	VERB	VV	0	0	0	252	94.86666666666666	155.16351232024735	2	260.0	看见	58.333333333333336	26.4	84.85412318928422	54.64772029401897
13	14	1	一	m	NUM	m	NUM	CD	1	5	2	1473	42.73333333333333	77.82070561375181	1	8489.0	一	42.73333333333333	0.0	77.82070561375181	0.0
14	15	1	幅	q	DET	n	DET		2	4	2	7	34.46666666666667	75.43904087996405	1	103.0	幅	34.46666666666667	0.0	75.43904087996405	0.0
15	16	1	很	d	ADV	zg	ADV	RB	3	1	3	10	168.13333333333333	148.7032242047525	1	1754.9999999999998	很	124.6	38.06666666666667	109.03076018567728	76.42204452177978
16	17	1	棒	a	ADJ	zg	ADJ		4	2	2	30	223.4	191.9784015629536	1	27.000000000000004	棒	164.6	44.333333333333336	107.86398842987406	90.31623454408526
17	18	1	的	u	PART	uj	PART		5	1	3	13	58.333333333333336	90.54624355666128	1	77946.0	的	58.333333333333336	0.0	90.54624355666128	0.0
18	19	1	图画，	n	NOUN	n	NOUN	NN	6	6	1	404	79.2	96.6320857686514	2	25.0	图画	79.2	0.0	96.6320857686514	0.0
19	20	1	那	r	PRON	r	PRON	PRD	7	2	3	106	12.4	46.39655159599686	1	1800.0	那	12.4	0.0	46.39655159599686	0.0
20	21	1	本	q	DET	r	DET		8	1	3	284	82.46666666666667	117.93945716152656	1	431.0	本	82.46666666666667	0.0	117.93945716152656	0.0
21	22	1	书	n	NOUN	n	NOUN		9	9	2	242	256.7333333333333	228.02791252144743	1	244.00000000000003	书	214.26666666666668	42.46666666666667	164.94219862997124	93.4978549961917
22	23	1	叫	v	VERB	v	VERB	VV	10	8	2	42	83.13333333333334	97.18838522283528	1	658.0	叫	83.13333333333334	0.0	97.18838522283528	0.0
23	24	1	《亲身经历的故事》，	n	NOUN	-	NOUN		11	1	3	1029	1159.5333333333333	831.9579209444563	7	0.0	亲身经历的故事	166.4	186.26666666666668	54.23504402137054	102.585552372425
24	25	1	写	v	VERB	v	VERB	VV	12	12	1	64	55.46666666666667	120.04602820955336	1	346.0	写	46.86666666666667	8.6	95.70431315022095	32.178253526255894
25	26	1	原始	a	ADJ	v	ADJ	JJ	13	1	3	272	585.8	329.5484182938829	2	97.0	原始	284.4	166.4	213.53931722284776	106.91791243753312
26	27	1	森林。	n	NOUN	n	NOUN	NN	14	2	2	626	284.4	176.4070293384025	2	89.99999999999999	森林	224.2	60.2	135.48539896731802	111.35840037165283
27	28	2	那	r	PRON	r	PRON	PRD	11	2	2	106	102.93333333333334	145.72827072633808	1	1800.0	那	88.53333333333333	14.4	110.65011924480194	53.87986636954476
28	29	2	幅	q	DET	n	DET		10	1	2	7	162.66666666666666	104.74455700523164	1	103.0	幅	143.33333333333334	19.33333333333333	80.5362582250311	72.33870947762955
29	30	2	图画	n	NOUN	n	NOUN	NN	9	9	1	404	177.8	162.77067712992206	2	25.0	图画	138.46666666666667	33.733333333333334	97.94615300709307	79.72491594365104
30	31	2	上，	nd	NOUN	f	NOUN	NN	8	1	2	940	36.93333333333333	74.21452388552765	1	3985.0	上	36.93333333333333	0.0	74.21452388552765	0.0
31	32	2	一	m	NUM	m	NUM	CD	5	3	2	1473	83.86666666666666	106.82251115232634	1	8489.0	一	75.13333333333334	8.733333333333333	94.22516766884642	32.67714117782575
32	33	2	条	q	DET	n	DET		4	2	2	74	87.8	172.7032908391345	1	681.0	条	64.8	23.0	112.30862240570252	86.05811989580066
33	34	2	大	a	ADJ	a	ADJ		3	1	2	2294	161.13333333333333	194.4019432916131	1	2188.0	大	139.53333333333333	21.6	161.82000975020227	80.81979955431713
34	35	2	蟒蛇	n	NOUN	n	NOUN		2	2	1	47	360.4	185.54093887872835	2	0.0	蟒蛇	188.9333333333333	115.26666666666668	86.61290640288868	124.66513368041426
35	36	2	正在	d	ADV	t	ADV		1	1	1	589	274.3333333333333	248.375432673112	2	264.0	正在	120.06666666666666	103.46666666666668	105.7162659617189	105.61746488573226
36	37	2	吞吃	v	VERB	-	VERB	VV	0	0	0	151	362.8666666666667	229.7081820242564	2	0.0	吞吃	176.06666666666666	86.33333333333333	87.4310903257849	95.59962807923937
37	38	2	一	m	NUM	m	NUM	CD	1	2	2	1473	102.46666666666668	125.08176881100172	1	8489.0	一	89.8	3.066666666666667	95.19537803906238	11.47441598610675
38	39	2	头	q	DET	n	DET		2	1	2	181	243.9333333333333	163.6465568093492	1	443.0	头	183.53333333333333	60.4	116.47824785006952	81.11539105907502
39	40	2	猛兽。	n	NOUN	n	NOUN	NN	3	3	1	98	460.6	358.27304299002645	2	0.0	猛兽	168.86666666666667	130.86666666666667	114.29544561743872	111.4102728157906
40	41	3	书	n	NOUN	n	NOUN		2	2	1	242	85.53333333333333	85.98206531338704	1	244.00000000000003	书	85.53333333333333	0.0	85.98206531338704	0.0
41	42	3	里	nd	NOUN	f	NOUN	NN	1	1	2	334	172.33333333333334	207.4260242967491	1	1968.0	里	115.8	37.6	130.7527947438728	103.7958252211202
42	43	3	写	v	VERB	v	VERB	VV	0	0	0	64	181.66666666666663	197.9359043281997	1	346.0	写	144.06666666666666	37.6	135.3545796130379	84.61426199721492
43	44	3	着：	u	AUX	uz	AUX	AS	1	1	1	49	97.46666666666668	105.25389409528856	1	4303.0	着	88.6	8.866666666666667	91.12467649691092	33.17602882939561
44	45	3	“大	a	ADJ	a	ADJ		2	1	3	2294	199.26666666666668	260.903421893151	1	2188.0	大	99.0	73.13333333333334	111.18393169278852	119.4776780639612
45	46	3	蟒蛇	n	NOUN	n	NOUN		3	10	2	47	207.46666666666667	132.17153837175218	2	0.0	蟒蛇	135.8	63.8	95.01031522945284	70.67408766066009
46	47	3	把	p	ADP	p	ADP	BB	4	1	4	41	50.86666666666667	114.58846170341738	1	3113.0000000000005	把	46.2	4.666666666666667	99.95078789084155	17.461067804945053
47	48	3	猎物	n	NOUN	n	NOUN	NN	5	2	3	180	467.0	309.92687309535887	2	0.0	猎物	257.3333333333333	143.46666666666667	128.95408312866854	198.0730056205428
48	49	3	整个	a	ADJ	b	ADJ		6	1	3	220	285.1333333333333	214.41388843905503	2	296.00000000000006	整个	175.8	67.73333333333333	117.9571673673683	74.6774992142137
49	50	3	吞下，	v	VERB	v	VERB	VV	7	6	2	459	120.26666666666668	136.43873676082202	2	5.999999999999999	吞下	73.33333333333333	39.266666666666666	73.51885623581356	71.85584334083222
50	51	3	嚼	v	VERB	v	VERB	VV	8	3	2	8	94.06666666666666	138.50221017089302	1	11.999999999999998	嚼	81.93333333333334	12.133333333333333	119.80732680247714	45.39877629285715
51	52	3	都	d	ADV	d	ADV	RB	9	2	2	74	376.4666666666666	332.46571084683137	1	3592.0	都	231.26666666666668	78.73333333333333	159.98144336835514	140.90680923535558
52	53	3	不	d	ADV	d	ADV	RB	10	1	2	1105	299.26666666666665	280.25285408399003	1	4915.0	不	203.3333333333333	74.06666666666666	189.7706217750495	96.24584262305684
53	54	3	嚼。	v	VERB	v	VERB	VV	11	11	1	8	111.0	168.28864093178322	1	11.999999999999998	嚼	83.46666666666667	27.53333333333333	135.1694574311158	70.8603007488835
54	56	3	然后，	c	CCONJ	c	CCONJ		12	10	2	297	497.2	501.997768919345	2	284.0	然后	141.86666666666667	156.13333333333333	72.93820824658516	141.7720549175879
55	57	3	它	r	PRON	r	PRON	PRP	13	7	2	3	216.66666666666663	270.8846412938336	1	2202.0	它	114.26666666666668	53.93333333333333	115.07300098439929	111.3280238254901
56	58	3	动弹	v	VERB	n	VERB	VV	14	6	2	310	452.4666666666666	280.33714622852887	2	7.0	动弹	216.13333333333333	149.2	106.34840018647309	103.56331396783322
57	59	3	不	d	ADV	d	ADV	RB	15	5	2	1105	139.06666666666666	143.6859847800829	1	4915.0	不	110.06666666666666	29.0	120.77884288603236	76.38062581571324
58	60	3	了，	u	PART	ul	PART	AS	16	4	2	27	107.86666666666666	116.13605048486116	1	13624.0	了	95.53333333333332	12.333333333333334	88.56550620240867	46.14710777021193
59	61	3	它	r	PRON	r	PRON	PRP	17	1	2	3	99.8	240.1622229521815	1	2202.0	它	53.73333333333333	46.06666666666667	95.16334495078564	172.36568361738622
60	62	3	得	vu	AUX	ud	AUX		18	18	1	148	156.0	167.3543147536587	1	1957.0	得	102.6	53.4	101.43490523483524	89.93316036553665
61	63	3	睡上	v	VERB	-	VERB		19	1	2	973	472.8	331.2214163768199	2	0.0	睡上	199.4	111.2	118.0987157706072	101.4719665720538
62	64	3	整整	d	ADV	vn	ADV		20	1	5	242	298.26666666666665	378.6182715553432	2	24.0	整整	177.06666666666666	51.06666666666667	102.65961014710486	78.26660988072896
63	65	3	六	m	NUM	m	NUM	CD	21	2	4	285	47.53333333333333	83.77339805822743	1	296.00000000000006	六	34.53333333333333	13.0	69.6264955953471	48.64154602806124
64	66	3	个	q	DET	q	DET		22	1	4	99	101.26666666666668	114.2806292519525	1	3297.9999999999995	个	101.26666666666668	0.0	114.2806292519525	0.0
65	67	3	月，	nt	NOUN	m	NOUN	NN	23	4	3	233	34.266666666666666	60.28871278182086	1	714.9999999999999	月	34.266666666666666	0.0	60.28871278182086	0.0
66	68	3	才能	c	CCONJ	v	CCONJ		24	1	3	194	77.2	102.95772595261286	2	372.0	才能	77.2	0.0	102.95772595261286	0.0
67	69	3	消化	v	VERB	vn	VERB	VV	25	4	2	461	349.2	220.20693298198705	2	44.00000000000001	消化	228.8	91.4	118.8798833557077	90.6000735834874
68	70	3	肚子	n	NOUN	n	NOUN	NN	26	1	3	225	17.8	36.23662971819169	2	47.00000000000001	肚子	17.8	0.0	36.23662971819169	0.0
69	71	3	里	nd	NOUN	f	NOUN	NN	27	1	4	334	18.6	47.499894736725466	1	1968.0	里	18.6	0.0	47.499894736725466	0.0
70	72	3	的	u	PART	uj	PART		28	1	2	13	117.13333333333334	157.0816631210941	1	77946.0	的	117.13333333333334	0.0	157.0816631210941	0.0
71	73	3	东西。	n	NOUN	ns	NOUN	NN	29	29	1	2314	195.0	176.74576845476858	2	437.00000000000006	东西	132.86666666666667	33.0	77.24149719476499	66.12815839968124
72	74	4	”对	p	ADP	p	ADP	IN	4	2	2	248	139.73333333333332	279.4071024310028	1	3237.0	对	88.33333333333333	21.4	116.90832115617586	80.07146807696238
73	75	4	原始	a	ADJ	v	ADJ	JJ	3	1	2	272	402.3333333333333	385.5859033845621	2	97.0	原始	198.4	59.06666666666667	128.66328147533002	96.98623040869712
74	76	4	森林	n	NOUN	n	NOUN	NN	2	2	1	626	291.0	327.0023445379763	2	89.99999999999999	森林	129.53333333333333	71.46666666666667	92.6094787565266	105.15186900647822
75	77	4	的	u	PART	uj	PART		1	1	1	13	226.13333333333333	285.2911651083659	1	77946.0	的	109.26666666666668	63.333333333333336	131.09257119387894	107.7241332705392
76	78	4	探险，	v	VERB	n	VERB		0	0	0	131	309.0	549.8029950203376	2	5.0	探险	156.8	35.93333333333333	120.14946247625636	97.1448860665804
77	79	4	我	r	PRON	r	PRON	PRP	1	2	2	79	35.13333333333333	81.19759164463495	1	5517.999999999999	我	35.13333333333333	0.0	81.19759164463495	0.0
78	80	4	当时	nt	NOUN	t	NOUN	NN	2	1	2	498	418.4	379.5521571536645	2	371.0	当时	195.6	90.46666666666668	168.87344373820295	92.28496928295289
79	81	4	想得	v	VERB	-	VERB		3	3	1	182	515.1333333333333	398.5471727272556	2	0.0	想得	226.7333333333333	156.2	104.57244166392766	129.57324826779123
80	82	4	很	d	ADV	zg	ADV	RB	4	1	3	10	111.93333333333334	130.17909031620846	1	1754.9999999999998	很	99.06666666666666	12.866666666666667	113.1526795479846	48.14265837649138
81	83	4	多。	a	ADJ	m	ADJ		5	2	2	555	154.6	158.53277263707966	1	1890.0	多	98.4	56.2	91.21242605405618	94.46000917495898
82	84	5	于是，	c	CCONJ	c	CCONJ		12	12	1	161	106.06666666666666	117.8708144066583	2	330.99999999999994	于是	82.93333333333334	12.6	62.07787224303216	47.144883073351664
83	85	5	于是，	c	CCONJ	c	CCONJ		12	12	1	161	113.2	225.4238082664148	2	330.99999999999994	于是	68.26666666666667	9.4	97.68893943988178	35.17157943567505
84	86	5	我	r	PRON	r	PRON	PRP	9	9	1	79	94.26666666666668	114.8770163648451	1	5517.999999999999	我	80.2	14.066666666666666	89.35636519017547	52.63264724062012
85	87	5	也	d	ADV	d	ADV	RB	8	1	2	10	172.66666666666666	187.18392618550936	1	5013.0	也	117.8	45.266666666666666	110.30998745958289	100.56803114752168
86	88	5	用	v	VERB	p	VERB	VV	7	7	1	159	217.66666666666663	257.9673536623492	1	1806.0	用	123.2	51.4	146.4245880991304	90.2476592494232
87	89	5	一	m	NUM	m	NUM	CD	6	3	3	1473	76.6	118.92002915124657	1	8489.0	一	67.4	9.2	101.92336990765824	34.42324795832026
88	90	5	支	q	DET	n	DET		5	2	3	133	115.53333333333332	148.7673201867788	1	142.0	支	87.66666666666667	27.866666666666667	103.96195885461609	57.5602486289125
89	91	5	彩色	n	NOUN	n	NOUN	NN	4	1	3	306	305.46666666666664	282.2811522027088	2	25.0	彩色	182.46666666666667	39.73333333333333	105.55685145403348	80.68660910516
90	92	5	铅笔，	n	NOUN	n	NOUN	NN	3	4	2	139	187.9333333333333	187.2305055866224	2	13.0	铅笔	116.93333333333334	60.8	106.98814056811264	92.5636357684089
91	93	5	画出	v	VERB	-	VERB	VV	0	0	0	609	156.33333333333334	172.91989153619338	2	20.0	画出	124.4	31.933333333333334	128.80724617297997	70.12794656118834
92	94	5	了	u	PART	ul	PART	AS	1	1	1	27	165.2	183.8840939287572	1	13624.0	了	111.13333333333334	54.06666666666667	117.17045513078608	109.69440378716784
93	95	5	我	r	PRON	r	PRON	PRP	2	2	3	79	66.33333333333333	97.85272380243464	1	5517.999999999999	我	66.33333333333333	0.0	97.85272380243464	0.0
94	96	5	的	u	PART	uj	PART		3	1	3	13	99.73333333333332	199.43067857166704	1	77946.0	的	70.33333333333333	29.4	129.4937149912003	74.98248684415137
95	97	5	第	h	PART	m	PART		4	3	2	225	81.73333333333333	120.99722678181053	1	272.0	第	81.73333333333333	0.0	120.99722678181053	0.0
96	98	5	一	m	NUM	m	NUM	CD	5	2	2	1473	64.86666666666666	102.59685938446438	1	8489.0	一	48.333333333333336	3.866666666666666	75.39997052755096	14.467741895525904
97	99	5	张	q	DET	q	DET		6	1	2	1366	103.0	166.92832793347768	1	339.0	张	103.0	0.0	166.92832793347768	0.0
98	100	5	画。	n	NOUN	n	NOUN		7	7	1	134	34.666666666666664	81.22041341655161	1	169.0	画	28.33333333333333	6.333333333333333	61.31412742771623	23.6971634495683
99	101	6	画作	n	NOUN	n	NOUN	NN	1	1	1	336	471.4666666666666	312.1892303644627	2	0.0	画作	234.2	143.33333333333334	63.83019139351952	113.94072533071258
100	102	6	第１号。	n	NOUN	-	NOUN		0	0	0	267	326.0	137.23993587873755	3	0.0	第１号	210.6	119.83333333333331	57.02695269198007	159.33064851294478
101	103	7	我	r	PRON	r	PRON	PRP	5	5	1	79	35.86666666666667	94.11614573965984	1	5517.999999999999	我	35.86666666666667	0.0	94.11614573965984	0.0
102	104	7	把	p	ADP	p	ADP	BB	4	3	2	41	128.8	116.06044402235702	1	3113.0000000000005	把	128.8	0.0	116.06044402235702	0.0
103	105	7	我	r	PRON	r	PRON	PRP	3	2	2	79	136.46666666666667	135.36314942487937	1	5517.999999999999	我	118.2	18.266666666666666	124.18545271756538	47.75976921589505
104	106	7	的	u	PART	uj	PART		2	1	3	13	65.4	99.19529558737484	1	77946.0	的	65.4	0.0	99.19529558737484	0.0
105	107	7	杰作	n	NOUN	n	NOUN	NN	1	1	1	352	158.33333333333334	161.67608220004453	2	8.0	杰作	112.46666666666668	33.2	114.09052935668626	59.89123475100509
106	108	7	拿	v	VERB	v	VERB	VV	0	0	0	54	56.73333333333333	75.79135101638504	1	272.0	拿	56.73333333333333	0.0	75.79135101638504	0.0
107	109	7	给	p	ADP	p	ADP		1	3	2	32	69.66666666666667	78.13037537063005	1	1222.0	给	69.66666666666667	0.0	78.13037537063005	0.0
108	110	7	大人	n	NOUN	n	NOUN	NN	2	1	3	3040	108.2	191.40923001081563	2	33.0	大人	75.86666666666666	17.0	119.30066591972104	63.608175575157006
109	111	7	们	k	PART	k	PART	SFN	3	1	2	1	47.93333333333333	64.97124150131519	1	763.0000000000001	们	47.93333333333333	0.0	64.97124150131519	0.0
110	112	7	看，	v	VERB	v	VERB	VV	4	4	1	118	35.0	71.39281009550845	1	1439.9999999999998	看	35.0	0.0	71.39281009550845	0.0
111	113	7	问	v	VERB	n	VERB	VV	5	5	1	68	50.2	100.5320512738765	1	471.0	问	50.2	0.0	100.5320512738765	0.0
112	114	7	他们：	r	PRON	r	PRON		6	1	2	29	239.06666666666663	189.45482017855576	2	1861.0	他们	172.93333333333334	44.73333333333333	91.25456457380945	97.79875027604166
113	115	7	“我	r	PRON	r	PRON	PRP	7	2	4	79	88.6	98.18200785615797	1	5517.999999999999	我	81.0	7.6	86.91528442493107	28.43659613948196
114	116	7	的	u	PART	uj	PART		8	1	4	13	129.73333333333332	160.09058546821407	1	77946.0	的	89.13333333333334	20.6	111.30969809000872	46.435331376011526
115	117	7	画	n	NOUN	n	NOUN		9	1	3	134	139.0	119.40407586566438	1	169.0	画	129.33333333333334	9.666666666666666	111.85208486608056	36.169354738814775
116	118	7	是不是	v	VERB	l	VERB		10	5	2	1163	266.6	155.58268969693682	3	99.0	是不是	178.93333333333334	61.333333333333336	66.94720971697691	78.31957325953427
117	119	7	让	p	ADP	v	ADP		11	1	5	30	66.8	106.28088570701064	1	616.9999999999999	让	46.46666666666667	20.33333333333333	58.060734484579925	76.08036686440346
118	120	7	你们	r	PRON	r	PRON		12	2	4	22	133.2	112.64469213712054	2	469.0	你们	128.86666666666667	4.333333333333333	113.35540961457856	16.21384867602041
119	121	7	很	d	ADV	zg	ADV	RB	13	1	4	10	147.06666666666666	144.07704728913473	1	1754.9999999999998	很	129.86666666666667	17.2	129.28669262104623	64.35650705251179
120	122	7	害怕？”	v	VERB	v	VERB	VV	14	4	3	36	125.06666666666666	127.07292744282272	2	43.0	害怕	97.06666666666666	28.0	90.65941147442382	57.66223489714332
121	123	8	他们	r	PRON	r	PRON		1	1	1	29	106.53333333333332	129.67645207292733	2	1861.0	他们	93.6	12.933333333333334	108.5067125419744	48.39210220227631
122	124	8	回答：	v	VERB	v	VERB	VV	0	0	0	291	155.66666666666666	106.60560752397387	2	171.0	回答	124.06666666666666	31.6	71.26426562840282	81.40745256629354
123	125	8	“一	m	NUM	m	NUM	CD	1	2	3	1473	32.06666666666667	79.4619126094732	1	8489.0	一	23.066666666666663	9.0	51.76287816143491	33.67491648096547
124	126	8	顶	q	DET	v	DET		2	1	3	96	77.33333333333333	128.3618150212732	1	96.0	顶	77.33333333333333	0.0	128.3618150212732	0.0
125	127	8	帽子	n	NOUN	n	NOUN	NN	3	1	2	220	248.26666666666668	137.05350131325437	2	33.0	帽子	221.06666666666663	27.2	107.57290034617868	69.3505106926642
126	128	8	有	v	VERB	v	VERB	VV	4	4	1	482	59.4	75.1618697656376	1	5604.000000000001	有	59.4	0.0	75.1618697656376	0.0
127	129	8	什么	r	PRON	r	PRON	WP	5	2	3	40	126.0	134.08703641043505	2	1421.9999999999998	什么	115.53333333333332	10.466666666666669	118.61864196753488	39.16268064823392
128	130	8	好	a	ADJ	a	ADJ		6	1	3	253	113.8	123.04319024906118	1	1325.0	好	105.06666666666666	8.733333333333333	114.81374288627454	32.67714117782575
129	131	8	怕	v	VERB	v	VERB		7	3	2	15	41.93333333333333	70.09181280450822	1	186.0	怕	41.93333333333333	0.0	70.09181280450822	0.0
130	132	8	的？”	u	PART	uj	PART		8	4	2	13	139.66666666666666	173.580976940319	1	77946.0	的	72.66666666666667	67.0	78.6203253335647	111.77179131307386
131	133	9	可	d	ADV	v	ADV		5	5	1	296	80.86666666666666	108.68048991833302	1	1303.9999999999998	可	72.13333333333334	8.733333333333333	103.74704279587392	32.67714117782575
132	134	9	我	r	PRON	r	PRON	PRP	4	4	1	79	45.06666666666667	168.62402623061226	1	5517.999999999999	我	45.06666666666667	0.0	168.62402623061226	0.0
133	135	9	画	v	VERB	n	VERB	VV	3	3	1	134	131.53333333333333	155.269171297961	1	169.0	画	104.33333333333331	27.2	129.1792897057763	72.72523633512647
134	136	9	的	u	PART	uj	PART		2	1	2	13	138.4	146.18381123320964	1	77946.0	的	106.06666666666666	32.333333333333336	113.77666232092102	82.43596841724421
135	137	9	不	d	ADV	d	ADV	RB	1	1	1	1105	97.33333333333331	119.91645239730684	1	4915.0	不	97.33333333333331	0.0	119.91645239730684	0.0
136	138	9	是	vl	VERB	v	VERB		0	0	0	29	41.93333333333333	84.51308905857259	1	12403.0	是	41.93333333333333	0.0	84.51308905857259	0.0
137	139	9	帽子	n	NOUN	n	NOUN	NN	1	1	2	220	169.93333333333334	184.2185175877339	2	33.0	帽子	125.53333333333332	32.0	105.3165809463174	82.36585052880432
138	140	9	呀。	u	PART	y	PART		2	2	1	3	34.333333333333336	59.78814449556218	1	500.0	呀	34.333333333333336	0.0	59.78814449556218	0.0
139	141	10	我	r	PRON	r	PRON	PRP	3	1	2	79	14.866666666666667	55.62597315003927	1	5517.999999999999	我	14.866666666666667	0.0	55.62597315003927	0.0
140	142	10	画	v	VERB	n	VERB	VV	2	2	1	134	67.8	200.96042728192367	1	169.0	画	39.93333333333333	27.866666666666667	100.84738745032296	104.26751917810046
141	143	10	的	u	PART	uj	PART		1	1	2	13	203.4	268.24113529931736	1	77946.0	的	141.73333333333332	61.66666666666666	135.1455840524909	183.3785398810037
142	144	10	是	vl	VERB	v	VERB		0	0	0	29	105.86666666666666	104.81785259306842	1	12403.0	是	102.2	3.6666666666666665	103.21511517214908	13.719410418171115
143	145	10	一	m	NUM	m	NUM	CD	1	3	3	1473	129.8	115.34019247426286	1	8489.0	一	120.66666666666669	9.133333333333333	104.07924331435584	34.17380413253533
144	146	10	条	q	DET	n	DET		2	2	3	74	46.4	95.3937803702806	1	681.0	条	46.4	0.0	95.3937803702806	0.0
145	147	10	大	a	ADJ	a	ADJ		3	1	3	2294	98.13333333333334	98.83175378164428	1	2188.0	大	93.26666666666668	4.866666666666666	97.00272619307609	18.209399282299845
146	148	10	蟒蛇，	n	NOUN	n	NOUN		4	4	2	47	281.53333333333336	254.3493310827104	2	0.0	蟒蛇	139.66666666666666	114.46666666666668	118.41208647018355	154.70353008972427
147	149	10	正在	d	ADV	t	ADV		5	1	2	589	323.8666666666667	353.67892532948895	2	264.0	正在	159.73333333333332	92.4	148.3385617056094	115.33418111441785
148	150	10	消化	v	VERB	vn	VERB	VV	6	6	1	461	311.06666666666666	216.3017850648076	2	44.00000000000001	消化	212.46666666666667	74.33333333333333	109.95748673414144	102.968387813391
149	151	10	一	m	NUM	m	NUM	CD	7	2	3	1473	75.26666666666667	221.7378231656075	1	8489.0	一	40.333333333333336	34.93333333333333	96.2279700618392	130.708564711303
150	152	10	头	q	DET	n	DET		8	1	3	181	24.933333333333334	65.74949091480143	1	443.0	头	24.933333333333334	0.0	65.74949091480143	0.0
151	153	10	大象。	n	NOUN	n	NOUN	NN	9	3	2	2388	343.8	112.27953212110091	2	21.0	大象	198.26666666666668	136.2	62.85800576608273	108.99186513986568
152	154	11	于是	c	CCONJ	c	CCONJ		9	9	1	161	65.2	75.15956359639137	2	330.99999999999994	于是	65.2	0.0	75.15956359639137	0.0
153	155	11	我	r	PRON	r	PRON	PRP	8	8	1	79	136.2	110.2531632199276	1	5517.999999999999	我	120.13333333333334	16.066666666666666	93.73854893028565	44.341803702099845
154	156	11	把	p	ADP	p	ADP	BB	7	4	2	41	98.66666666666669	107.346583033131	1	3113.0000000000005	把	77.86666666666666	20.8	84.89983640868941	77.82647364489797
155	157	11	大	a	ADJ	a	ADJ		6	1	3	2294	92.53333333333332	127.69748975171316	1	2188.0	大	76.6	15.933333333333334	105.55554619883	49.09374252952769
156	158	11	蟒蛇	n	NOUN	n	NOUN		5	2	2	47	206.3333333333333	245.18609712261875	2	0.0	蟒蛇	108.06666666666666	31.2	97.7046342583378	72.40828681856794
157	159	11	的	u	PART	uj	PART		4	1	2	13	143.26666666666668	126.9448524185032	1	77946.0	的	123.26666666666668	20.0	97.80420349975876	74.83314773547883
158	160	11	肚子	n	NOUN	n	NOUN	NN	3	3	1	225	191.4	167.35861694775883	2	47.00000000000001	肚子	116.4	53.13333333333333	95.03038110695618	83.77260225687687
159	161	11	里面	nd	NOUN	f	NOUN	NN	2	2	1	528	340.0	302.7454376204537	2	136.0	里面	179.8	92.8	146.43551481795666	140.74051773861476
160	162	11	也	d	ADV	d	ADV	RB	1	1	1	10	134.86666666666667	130.04710257783097	1	5013.0	也	116.66666666666669	12.933333333333334	113.21935445065132	33.36758240501633
161	163	11	画	v	VERB	n	VERB	VV	0	0	0	134	169.86666666666667	156.15926343177838	1	169.0	画	125.8	44.06666666666667	122.76166611229527	90.45548936109712
162	164	11	了	u	PART	ul	PART	AS	1	1	1	27	66.93333333333334	77.42563457207754	1	13624.0	了	66.93333333333334	0.0	77.42563457207754	0.0
163	165	11	出来，	vd	VERB	v	VERB	VV	2	2	1	619	52.86666666666667	93.10486322182936	2	688.0	出来	48.46666666666667	4.4	84.30885020104485	16.463292501805345
